price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,density
482000.0,3,1.75,2600,105587,1.0,0.0,4,7,1300,1300,1980,0.0,98070,0.024624243514826637
1610000.0,4,2.75,5470,18200,2.0,1.0,3,11,3730,1740,1992,0.0,98118,0.30054945054945054
410000.0,2,1.5,1180,1034,2.0,0.0,3,7,1120,60,2001,,98115,1.1411992263056092
390000.0,4,1.75,2180,7560,1.0,0.0,4,7,1560,620,1962,0.0,98133,0.28835978835978837
550000.0,3,2.5,2010,2261,2.0,0.0,3,8,1390,620,2014,,98029,0.8889871738168952
255000.0,3,1.75,2190,6000,1.5,0.0,4,7,2190,0,1920,0.0,98002,0.365
329000.0,3,1.0,1600,5952,1.0,0.0,4,7,1150,450,1964,,98106,0.26881720430107525
460000.0,3,1.75,1400,2003,1.0,0.0,4,8,700,700,1908,2006.0,98119,0.6989515726410385
825000.0,4,2.5,3210,18901,2.0,0.0,3,10,3210,0,1993,0.0,98077,0.16983228400613723
343000.0,3,1.75,2210,7920,1.0,0.0,3,7,1400,810,1966,,98178,0.27904040404040403
712000.0,4,2.5,3140,32336,1.5,0.0,3,10,3140,0,1995,0.0,98072,0.097105393369619
309900.0,3,2.5,2020,26670,2.0,0.0,3,7,2020,0,1987,0.0,98003,0.07574053243344582
619420.0,4,2.75,2450,14803,2.0,0.0,4,9,2450,0,1988,0.0,98059,0.16550699182598122
270000.0,3,1.0,1010,9514,1.0,0.0,3,7,1010,0,1969,,98059,0.10615934412444818
1420000.0,5,3.25,4020,4500,2.0,0.0,3,9,3120,900,2010,0.0,98004,0.8933333333333333
254000.0,3,2.25,1660,8188,2.0,0.0,4,7,1660,0,1988,0.0,98042,0.20273571079628724
295000.0,3,2.0,1760,6092,1.0,0.0,3,7,1760,0,1998,0.0,98030,0.28890347997373605
395900.0,3,1.75,1880,8706,1.0,0.0,3,7,940,940,1927,,98155,0.21594302779692165
272000.0,4,2.5,2070,6175,2.0,0.0,3,8,2070,0,1993,,98092,0.33522267206477735
519000.0,4,1.0,1640,6305,1.5,0.0,5,6,1640,0,1907,,98118,0.26011102299762096
427500.0,4,2.5,3160,8726,2.0,0.0,3,9,3160,0,1999,0.0,98092,0.36213614485445794
528000.0,5,1.75,2780,7786,1.0,0.0,3,8,1390,1390,1966,,98052,0.3570511173901875
201000.0,3,1.0,900,7576,1.0,0.0,4,6,900,0,1959,0.0,98002,0.1187961985216473
327500.0,3,2.25,1770,8755,1.0,0.0,3,8,1330,440,1981,0.0,98058,0.202170188463735
570000.0,3,1.5,1980,10203,1.0,0.0,4,7,1680,300,1946,0.0,98010,0.19406057042046457
445000.0,4,2.0,1700,21780,1.0,0.0,4,6,1080,620,1940,0.0,98052,0.0780532598714417
545000.0,5,2.5,2730,17240,1.0,0.0,5,7,1660,1070,1958,0.0,98028,0.1583526682134571
425996.0,4,2.5,2568,5000,2.0,0.0,3,9,2568,0,2014,,98092,0.5136
785000.0,3,3.5,4500,21870,2.0,0.0,3,10,4500,0,2004,0.0,98092,0.205761316872428
675000.0,3,2.25,2070,2833,2.0,0.0,3,8,1490,580,1966,0.0,98136,0.7306741969643488
490000.0,3,3.0,1730,2940,3.0,0.0,3,7,1730,0,1985,0.0,98117,0.5884353741496599
272000.0,2,1.0,670,6300,1.0,0.0,4,6,670,0,1942,0.0,98126,0.10634920634920635
220000.0,4,2.0,1400,7140,1.0,0.0,3,7,1400,0,1969,0.0,98155,0.19607843137254902
710000.0,4,2.5,3060,5000,2.0,0.0,3,9,3060,0,2006,0.0,98059,0.612
299000.0,3,1.0,1520,8320,1.0,0.0,3,6,1520,0,1953,0.0,98133,0.18269230769230768
599000.0,4,1.0,1590,4280,1.5,0.0,3,7,1590,0,1924,0.0,98103,0.37149532710280375
442000.0,2,1.0,1410,5000,1.0,0.0,4,7,940,470,1918,0.0,98126,0.282
370000.0,3,2.75,1750,9166,1.0,0.0,4,7,1170,580,1979,0.0,98155,0.1909229762164521
1050000.0,4,3.0,2790,3600,2.0,0.0,3,8,1880,910,1905,2013.0,98119,0.775
165000.0,3,1.5,1280,7742,1.0,0.0,3,7,1280,0,1973,0.0,98001,0.16533195556703695
765000.0,2,1.75,1660,4000,1.0,0.0,3,7,990,670,1940,,98112,0.415
550000.0,4,2.5,2470,7539,2.0,0.0,3,9,2470,0,2006,0.0,98028,0.32762965910598224
365000.0,4,3.5,2720,6781,2.0,0.0,3,8,2100,620,1999,0.0,98055,0.40112077864621737
